Guid,Name,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ConfiguratorEvaluationEvent__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupObject__c,SBQQ__TargetObject__c
7bf4ab39-d6d8-40d5-b6a3-85c1eb4d25f7,Set VirusScan Device Count,false,111 AND (222 OR 333 OR 444),Custom,Save,#N/A,1.0,#N/A,Configurator
f04f0a51-fea5-40ad-bc06-a4d5c947714b,VC_TEST3,false,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Configurator
e6cfeeb5-0c39-4a1f-b780-81389290f684,Calculate Tax at Order/Invoice,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
1dedbb8e-3e99-4c2f-949b-fcab52e3612d,Set Professional Services Role Rates,false,#N/A,All,#N/A,On Calculate,#N/A,Professional_Services_Rate__c,Calculator
60016e25-5581-4ca7-a365-4112ce97e306,NEW PRICE RULE 7,false,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Configurator
adc13b63-26f4-4941-9e2d-ed2d47cf759f,Lookup Approval Level [Discount],false,#N/A,All,#N/A,On Initialization;Before Calculate;On Calculate;After Calculate,99.0,Approval_Threshold__c,Calculator
bf43df43-a3ae-4a4c-9110-ca8f90065932,NEW PRICE RULE 5,false,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Configurator
977ae757-34b0-4929-8742-04ed801b5ea1,Set VirusScan Device Count,false,111 AND (222 OR 333 OR 444),Custom,Save,#N/A,1.0,#N/A,Configurator
368fd313-bd23-4c43-a1ff-e0b3fe40b9ab,Training Price Rule - deactivate,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
b6c9c6cc-a948-4bf8-8f3e-6e1fcf941b84,Training Price Rule - deactivate,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
d7ee3646-0798-42b5-b680-259449b1e462,Lookup Approval Level [Discount],false,#N/A,All,#N/A,On Initialization;Before Calculate;On Calculate;After Calculate,99.0,Approval_Threshold__c,Calculator
dd5b4b3f-97da-4458-a5aa-7d335dc7f6aa,Training Price Rule - deactivate,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
b4529605-ccc2-4266-be1c-564380d2448a,VC_TEST4_NEW,false,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Configurator
ae27a4c3-3034-4eda-b6d3-4472105a9e58,Set Quantity for VirusScan Mac,false,#N/A,All,Edit,Before Calculate,#N/A,#N/A,Configurator
b35f090b-f10a-4620-bc1b-64ec6fec7917,Services Promotion,false,#N/A,All,#N/A,On Calculate,#N/A,#N/A,Calculator
932cdd39-0cba-43ee-8aff-c1132486f9af,Set VirusScan Device Count (DEP),false,111 AND (222 OR 333 OR 444),Custom,#N/A,On Initialization,2.0,#N/A,Calculator
