Guid,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__FilterFormula__c,SBQQ__FilterType__c,SBQQ__FilterVariable__c,SBQQ__Index__c,SBQQ__Object__c,SBQQ__Operator__c,SBQQ__TestedFormula__c,SBQQ__TestedVariable__c,SBQQ__Value__c
043bd7c6-867d-4a4f-a521-f1ea54958ab4,4864e254-619d-480a-831e-0b4a99bdb96b,Product Code,#N/A,Value,#N/A,333.0,Product Option,equals,#N/A,#N/A,EP-015
bc6c1e06-a17d-43c3-acff-57a23eb7126d,ac6f486a-5a74-4843-90be-e0abf4814394,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
fb8d7f53-218b-4a9e-b4ea-547fc05855f5,4864e254-619d-480a-831e-0b4a99bdb96b,SBQQ__Type__c,#N/A,Value,#N/A,111.0,Quote,equals,#N/A,#N/A,Quote
e92f3442-9779-4554-9a06-7b511f05c1ca,103b61fd-0d2a-4d46-926f-9c6eedd19a7b,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
98be55cc-4772-437a-b4eb-66bbe44f1657,7bf4ab39-d6d8-40d5-b6a3-85c1eb4d25f7,Product Code,#N/A,Value,#N/A,222.0,Product Option,equals,#N/A,#N/A,EP-014
cb483d5e-bb1c-4f72-bb1a-d82785a3cbbc,0b8b399e-25cc-485e-9e04-a1dea01f46ea,Protected_Devices__c,#N/A,Value,#N/A,#N/A,Product Option,greater than,#N/A,#N/A,0
2d49263c-fc27-448b-830e-63508668cb58,4864e254-619d-480a-831e-0b4a99bdb96b,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
7b0684ed-2e7b-4d12-b397-5b9f2be0dd2d,ba6f7ce9-0002-4d49-ad82-01aed871aa5d,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
6cf9ab75-5701-455b-b70c-f20c71403c77,26876d5a-dbec-45a3-84a6-44880a83dcd9,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
9f04fb13-91bf-4f6f-9662-4bd73840ddf0,d8802c3d-cc38-44e1-bcb1-e203d9305f2d,SBQQ__Product__c,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,#N/A
2593a154-d4d5-47c4-8230-204c7e1f7abc,8fbb4e83-bc79-40d2-b80e-0302ee5db94f,Product Code,#N/A,Value,#N/A,222.0,Quote Line,equals,#N/A,#N/A,EP-014
8c9fff4c-8965-4349-b4b9-71b6af9542f7,4bab2b7d-d99a-48eb-9e3d-aa6d37db17d5,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,not equals,#N/A,#N/A,fdhfvu6578
8f2824cd-d5ae-43a6-9310-67dd11d97d21,977ae757-34b0-4929-8742-04ed801b5ea1,Product Code,#N/A,Value,#N/A,444.0,Product Option,equals,#N/A,#N/A,EP-025
24189b1a-1a2b-41f2-a263-989cf875c472,b2d7c470-980b-4145-8db6-b15616d63ea7,Product Code,#N/A,Value,#N/A,#N/A,Quote Line,equals,#N/A,#N/A,WDCHIP
